	bc	cj	jb	ja	mo	pb	pt	pj	ar	rp	sl
Amazilia_lactea	0	0	0	0	0	0	2	0	0	0	0
Brotogeris_tirica	59	33	14	4	20	0	0	61	0	5	77
Cacicus_haemorrhous	4	0	0	0	0	1	0	0	0	0	164
Colibri_serrirostris	0	0	0	0	0	0	8	0	0	0	0
Cornirostrum_speciosum	0	0	0	0	0	0	1	0	0	0	0
Cyclarhis_gujanensis	0	0	0	0	0	2	0	0	0	0	0
Dacnis_cayana	0	0	0	0	0	34	0	0	0	0	67
Eupetomena_macroura	24	20	24	4	7	0	6	14	0	29	1
Leucochloris_albicollis	0	0	0	0	0	14	8	0	3	0	1
Molothrus_bonariensis	0	0	0	2	0	0	0	0	0	0	0
Pipraeidea_bonariensis	0	2	1	0	2	0	0	0	0	4	3
Pyrrhura_frontalis	0	0	0	0	0	10	0	0	0	0	0
Saltator_similis	0	0	0	0	0	0	1	0	0	0	0
Schistochlamys_ruficapillus	0	0	0	0	0	0	0	0	0	0	1
Setophaga_pitiayumi	0	0	0	0	0	1	0	0	0	0	1
Tangara_preciosa	0	0	0	0	0	19	0	0	0	0	7
Tangara_sayaca	2	4	2	6	0	0	0	4	0	52	15
