	floresta_500	floresta_1000	floresta_2000	vegetacao_500	vegetacao_1000	vegetacao_2000	fragmentos_500	fragmentos_1000	fragmentos_2000	iso_500	iso_1000	iso_2000	urban_500	urban_1000	urban_2000
bc	31.12	34.36	28.36	14.93	20.77	23.62	12	45	163	95.05	70.47	70.69	44.26	40.4	43.85
cj	0	0.13	2.17	3.77	4.92	7.1	0	3	33	0	598.6	196.61	94.97	92.91	88.11
jb	9.51	10.72	3.79	21.21	12.71	11.56	8	23	70	143.98	155.18	156.4	63.74	72.37	79.36
ja	3.24	3.27	4.08	10.23	9.7	10.29	3	19	85	273.11	130.19	120.47	82.57	82.78	81.6
mo	2.3	2.53	2.61	10.13	7.89	10.89	1	15	112	0	198.84	122.69	72.13	78.24	78.35
pb	31.12	34.36	28.36	14.93	20.77	23.62	12	45	163	95.05	70.47	70.69	44.26	40.4	43.85
pt	31.73	30.53	28.3	26.93	27.16	26.94	18	58	171	63.5	71.6	67.03	33.72	35.99	39.74
pj	0.21	0.24	0.52	2.62	3.5	6.12	2	6	45	394.59	331.18	229.91	94.65	93.38	89.81
ar	42.61	43.23	32.29	15.81	19.71	22.65	11	30	148	70.82	67.21	71.49	25.23	28.27	39.03
rp	0.52	0.29	0.31	6.9	4.97	4.52	2	6	26	644.13	457.6	357.97	88.92	91.98	91.75
sl	21.53	16.34	14.34	33.86	25.07	22.14	19	51	182	61.38	94.06	83.68	37.41	52.92	58.5
															
															
															
															
